Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 6174, Maricopa County, Arizona",4013617400,45048,1,7053,3807,67.5,1.82,1164,6686,262,10,33,0,15,47,7053
"Census Tract 6175, Maricopa County, Arizona",4013617500,40926,1,3347,1852,70.2,1.81,786,3239,63,9,0,0,25,11,3347
"Census Tract 6176, Maricopa County, Arizona",4013617600,52667,1,5952,2450,38.6,2.39,1079,4885,198,108,381,0,106,274,5952
"Census Tract 6177, Maricopa County, Arizona",4013617700,50000,1,3717,1574,31.9,2.34,1073,2947,285,0,211,0,71,203,3717
"Census Tract 6178, Maricopa County, Arizona",4013617800,107778,1,2671,886,49.5,2.93,695,2551,38,16,35,7,24,0,2671
"Census Tract 6179, Maricopa County, Arizona",4013617900,65699,1,2846,1061,39,2.66,530,2453,35,0,113,0,55,190,2846
"Census Tract 6180, Maricopa County, Arizona",4013618000,65905,1,4849,1611,36,3,858,4166,138,0,263,0,92,190,4849
"Census Tract 6181, Maricopa County, Arizona",4013618100,65295,1,4139,1561,44.8,2.64,815,3699,46,112,29,0,110,143,4139
"Census Tract 6182, Maricopa County, Arizona",4013618200,48750,1,3762,1418,35.1,2.64,392,3182,142,38,52,0,71,277,3762
"Census Tract 6183, Maricopa County, Arizona",4013618300,70865,1,3047,1100,38.3,2.76,593,2638,95,28,107,0,107,72,3047
"Census Tract 6184, Maricopa County, Arizona",4013618400,40703,1,3708,1435,38.2,2.58,393,3232,144,0,156,0,115,61,3708
"Census Tract 6185, Maricopa County, Arizona",4013618500,38500,1,3926,1560,34.5,2.51,392,3422,128,179,0,0,27,170,3926
"Census Tract 6186, Maricopa County, Arizona",4013618600,41549,1,4487,1409,35.4,3.17,459,3850,37,66,106,0,315,113,4487
"Census Tract 6187, Maricopa County, Arizona",4013618700,49185,1,2952,958,35.3,3.08,226,2648,10,91,0,0,134,69,2952
"Census Tract 6188, Maricopa County, Arizona",4013618800,29648,1,4857,1751,31.3,2.77,321,4182,179,65,0,0,232,199,4857
"Census Tract 6189, Maricopa County, Arizona",4013618900,43422,1,6241,2719,36.9,2.29,1174,5413,220,84,229,0,157,138,6241
"Census Tract 6190, Maricopa County, Arizona",4013619000,45102,1,3030,1484,46.6,2.04,660,2736,125,0,64,0,20,85,3030
"Census Tract 6191, Maricopa County, Arizona",4013619100,30000,1,2783,1250,29,2.23,300,2262,325,28,0,0,121,47,2783
"Census Tract 6192, Maricopa County, Arizona",4013619200,31272,1,5442,2226,28.5,2.44,686,4712,130,191,120,0,71,218,5442
