Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 820.07, Maricopa County, Arizona",4013082007,41533,1,3798,1181,36.5,3.22,191,3128,86,6,86,26,362,104,3798
"Census Tract 820.08, Maricopa County, Arizona",4013082008,35846,1,5712,1438,27.5,3.97,264,4193,493,138,107,22,677,82,5712
"Census Tract 820.09, Maricopa County, Arizona",4013082009,45368,1,5576,1294,24.4,4.31,240,4298,490,14,69,0,546,159,5576
"Census Tract 820.10, Maricopa County, Arizona",4013082010,33479,1,3840,1047,25.1,3.66,185,2942,218,126,11,0,412,131,3840
"Census Tract 820.12, Maricopa County, Arizona",4013082012,65313,1,6083,1786,29.4,3.41,535,4519,331,80,398,9,411,335,6083
"Census Tract 820.16, Maricopa County, Arizona",4013082016,69491,1,2715,672,25.9,4.04,260,2019,97,24,125,0,86,364,2715
"Census Tract 820.17, Maricopa County, Arizona",4013082017,57083,1,5093,1327,26.3,3.83,635,3033,1233,10,446,0,185,186,5093
"Census Tract 820.18, Maricopa County, Arizona",4013082018,55432,1,5110,1394,26.8,3.65,276,3765,496,0,183,0,458,208,5110
"Census Tract 820.19, Maricopa County, Arizona",4013082019,87438,1,2292,761,42,3.01,592,1953,166,0,79,0,41,53,2292
"Census Tract 820.20, Maricopa County, Arizona",4013082020,85403,1,3863,1356,39.1,2.85,762,2655,562,0,198,0,250,198,3863
"Census Tract 820.21, Maricopa County, Arizona",4013082021,71887,1,1817,526,32.1,3.44,356,1489,175,48,0,9,67,29,1817
"Census Tract 820.22, Maricopa County, Arizona",4013082022,55848,1,3940,1355,32.2,2.91,514,2923,386,72,189,0,229,141,3940
"Census Tract 820.23, Maricopa County, Arizona",4013082023,70372,1,5188,1666,33.2,3.11,546,3879,458,14,324,0,344,169,5188
"Census Tract 820.24, Maricopa County, Arizona",4013082024,62662,1,4649,1420,29.8,3.27,569,3398,440,19,124,29,545,94,4649
"Census Tract 820.25, Maricopa County, Arizona",4013082025,66128,1,2305,663,29.4,3.46,315,1788,238,153,16,0,52,58,2305
"Census Tract 820.26, Maricopa County, Arizona",4013082026,62935,1,5706,1699,29,3.35,485,4301,464,43,77,0,522,299,5706
"Census Tract 820.27, Maricopa County, Arizona",4013082027,53276,1,4101,1228,29.9,3.34,431,3119,312,62,131,13,394,70,4101
"Census Tract 820.28, Maricopa County, Arizona",4013082028,46114,1,4010,1137,25.6,3.53,83,2307,447,68,72,0,997,119,4010
"Census Tract 822.03, Maricopa County, Arizona",4013082203,63879,1,8484,2084,25.8,4.07,750,6217,904,15,80,309,714,245,8484
"Census Tract 822.04, Maricopa County, Arizona",4013082204,54257,1,6421,1574,23.1,4.08,385,4529,807,299,49,0,345,392,6421
"Census Tract 822.05, Maricopa County, Arizona",4013082205,53735,1,5096,1580,27.8,3.23,430,3807,512,0,0,0,567,210,5096
"Census Tract 822.06, Maricopa County, Arizona",4013082206,51456,1,3260,781,23.8,4.17,192,2258,493,0,200,0,240,69,3260
"Census Tract 822.07, Maricopa County, Arizona",4013082207,64063,1,2815,687,28.4,4.1,163,2401,44,65,56,0,104,145,2815
"Census Tract 822.08, Maricopa County, Arizona",4013082208,42059,1,3808,772,27.8,4.93,158,3599,29,18,0,0,129,33,3808
"Census Tract 822.09, Maricopa County, Arizona",4013082209,32292,1,3000,745,43.5,4.03,43,2680,23,6,0,0,291,0,3000
"Census Tract 822.10, Maricopa County, Arizona",4013082210,44615,1,4598,1248,26.8,3.68,285,3296,631,74,95,0,420,82,4598
"Census Tract 822.11, Maricopa County, Arizona",4013082211,71463,1,4920,1180,25.4,4.17,397,3534,318,215,327,0,205,321,4920
"Census Tract 830, Maricopa County, Arizona",4013083000,34485,1,6707,2070,30.8,3.24,327,5672,307,63,0,0,611,54,6707
"Census Tract 9, Coconino County, Arizona",4005000900,44495,1,6720,2699,28.7,2.49,1887,5041,86,687,334,0,229,343,6720
"Census Tract 9, Gila County, Arizona",4007000900,34954,1,3177,1140,37.5,2.79,204,2893,0,31,25,0,176,52,3177
"Census Tract 9, Pima County, Arizona",4019000900,34492,1,2725,1259,34,2.12,679,2086,76,70,57,0,416,20,2725
"Census Tract 9, Yavapai County, Arizona",4025000900,27198,1,4561,2004,41.8,1.86,612,4067,81,52,68,0,204,89,4561
"Census Tract 9.01, Cochise County, Arizona",4003000901,20324,1,3032,1060,34.7,2.86,99,1889,0,33,0,0,1022,88,3032
"Census Tract 9.01, Pinal County, Arizona",4021000901,40313,1,5280,520,34.9,2.21,190,3998,265,366,70,19,463,99,5280
"Census Tract 9.01, Yuma County, Arizona",4027000901,56875,1,3100,1117,38.4,2.78,199,2281,74,65,0,0,602,78,3100
"Census Tract 9.02, Cochise County, Arizona",4003000902,21292,1,2145,778,33.2,2.74,134,1263,44,53,2,0,663,120,2145
"Census Tract 9.02, Pinal County, Arizona",4021000902,46067,1,3307,1318,37.9,2.51,284,2720,115,55,35,0,382,0,3307
"Census Tract 9.02, Yuma County, Arizona",4027000902,40547,1,2635,1071,31.7,2.45,342,2213,47,69,48,0,183,75,2635
"Census Tract 9.03, Yuma County, Arizona",4027000903,62279,1,3092,1015,35,3.03,432,1935,49,0,157,0,824,127,3092
"Census Tract 9.05, Yuma County, Arizona",4027000905,52958,1,8207,2337,27.4,3.51,623,4492,233,0,327,0,2856,299,8207
"Census Tract 9.07, Yuma County, Arizona",4027000907,49688,1,7491,2290,27.1,3.18,693,4564,315,49,236,0,2085,242,7491
"Census Tract 9.08, Yuma County, Arizona",4027000908,85925,1,3179,931,31.3,3.41,677,1889,18,7,164,0,1046,55,3179
"Census Tract 923.05, Maricopa County, Arizona",4013092305,52292,1,4283,1366,32.9,3.08,687,3633,96,35,45,9,241,224,4283
"Census Tract 923.06, Maricopa County, Arizona",4013092306,54634,1,6462,2237,36.7,2.87,895,4807,516,349,188,0,253,349,6462
"Census Tract 923.07, Maricopa County, Arizona",4013092307,43611,1,6241,2162,34.3,2.85,763,4810,371,282,204,4,233,337,6241
"Census Tract 923.08, Maricopa County, Arizona",4013092308,44375,1,6704,2372,36.1,2.81,604,5665,150,89,220,0,439,141,6704
"Census Tract 923.09, Maricopa County, Arizona",4013092309,59115,1,5334,1813,40.1,2.87,761,4020,562,53,153,30,484,32,5334
"Census Tract 923.11, Maricopa County, Arizona",4013092311,25601,1,2135,1036,30.5,2.05,217,1950,48,11,0,8,19,99,2135
"Census Tract 923.12, Maricopa County, Arizona",4013092312,32026,1,5452,2205,28.5,2.39,490,3960,320,707,293,0,73,99,5452
"Census Tract 924.01, Maricopa County, Arizona",4013092401,31054,1,4137,1561,30.7,2.63,261,2642,451,11,152,0,694,187,4137
"Census Tract 924.02, Maricopa County, Arizona",4013092402,41755,1,3136,1375,43,2.26,398,2347,124,0,0,0,522,143,3136
"Census Tract 925, Maricopa County, Arizona",4013092500,31824,1,4958,1839,39.6,2.67,510,3427,529,64,186,0,448,304,4958
"Census Tract 926, Maricopa County, Arizona",4013092600,26134,1,3639,981,30.3,3.66,165,2015,158,156,183,0,985,142,3639
"Census Tract 927.05, Maricopa County, Arizona",4013092705,42440,1,3557,1099,28.9,3.23,358,2041,587,16,273,18,386,236,3557
"Census Tract 927.08, Maricopa County, Arizona",4013092708,52344,1,1948,640,27.8,3.02,316,1478,130,0,206,0,89,45,1948
"Census Tract 927.09, Maricopa County, Arizona",4013092709,46413,1,4615,1505,35.4,3.05,333,3769,302,17,92,0,351,84,4615
"Census Tract 927.10, Maricopa County, Arizona",4013092710,60552,1,4239,1431,38.3,2.95,347,3620,108,75,78,0,229,129,4239
"Census Tract 927.11, Maricopa County, Arizona",4013092711,44800,1,3545,968,28.1,3.61,164,2802,53,61,102,0,435,92,3545
"Census Tract 927.12, Maricopa County, Arizona",4013092712,49472,1,4454,1337,31.5,3.31,476,3111,526,3,226,0,466,122,4454
"Census Tract 927.13, Maricopa County, Arizona",4013092713,56384,1,4508,1351,34.8,3.32,375,3567,108,182,90,0,463,98,4508
"Census Tract 927.15, Maricopa County, Arizona",4013092715,39036,1,4662,1216,24.7,3.82,123,2940,483,1,195,1,918,124,4662
"Census Tract 927.16, Maricopa County, Arizona",4013092716,49333,1,4100,1066,28.6,3.84,294,3056,181,1,169,0,667,26,4100
"Census Tract 927.17, Maricopa County, Arizona",4013092717,34718,1,4799,1450,25,3.31,229,2677,628,26,378,0,820,270,4799
"Census Tract 927.18, Maricopa County, Arizona",4013092718,34712,1,4100,1108,22.3,3.69,206,2726,393,51,70,39,657,164,4100
"Census Tract 927.19, Maricopa County, Arizona",4013092719,46111,1,4008,1664,33.8,2.41,603,2894,568,136,165,38,120,87,4008
"Census Tract 927.20, Maricopa County, Arizona",4013092720,55781,1,4790,1911,31.6,2.49,760,3253,450,101,25,0,526,435,4790
"Census Tract 927.21, Maricopa County, Arizona",4013092721,103750,1,2999,854,32.6,3.51,469,1881,513,44,278,0,136,147,2999
"Census Tract 927.23, Maricopa County, Arizona",4013092723,45850,1,3777,1681,33.2,2.25,501,3383,264,13,0,9,55,53,3777
"Census Tract 927.24, Maricopa County, Arizona",4013092724,42669,1,3506,1409,49.6,2.41,478,2967,85,41,236,0,111,66,3506
"Census Tract 928.01, Maricopa County, Arizona",4013092801,22255,1,5256,1393,25.6,3.77,51,3413,291,157,104,0,1162,129,5256
"Census Tract 928.02, Maricopa County, Arizona",4013092802,27048,1,5558,1434,23.2,3.87,61,3684,412,162,0,0,983,317,5558
"Census Tract 929, Maricopa County, Arizona",4013092900,19275,1,2841,877,28.1,3.24,40,1941,67,103,24,0,669,37,2841
"Census Tract 930.01, Maricopa County, Arizona",4013093001,27188,1,5289,1755,28.4,3.01,234,3160,572,219,140,59,1091,48,5289
"Census Tract 930.02, Maricopa County, Arizona",4013093002,26607,1,4330,1222,27.7,3.54,270,3118,317,1,294,73,388,139,4330
"Census Tract 931.01, Maricopa County, Arizona",4013093101,26435,1,4737,1564,28.9,3.03,424,3251,236,73,21,0,728,428,4737
"Census Tract 931.04, Maricopa County, Arizona",4013093104,21414,1,4447,1496,27,2.84,92,3179,394,124,43,0,629,78,4447
"Census Tract 931.05, Maricopa County, Arizona",4013093105,25924,1,5668,1910,26,2.97,186,3731,405,149,0,0,1053,330,5668
"Census Tract 931.06, Maricopa County, Arizona",4013093106,40288,1,4250,1213,35.2,3.48,223,2769,148,39,110,0,1054,130,4250
"Census Tract 932, Maricopa County, Arizona",4013093200,24803,1,2970,1162,26.7,2.55,136,1990,354,10,63,9,396,148,2970
"Census Tract 9400.08, Navajo County, Arizona",4017940008,17083,1,1175,348,40.4,3.38,42,0,0,1163,0,8,0,4,1175
"Census Tract 9400.10, Navajo County, Arizona",4017940010,16921,1,2906,771,25.6,3.77,47,19,0,2846,0,0,3,38,2906
"Census Tract 9400.11, Navajo County, Arizona",4017940011,25580,1,2688,809,30.3,3.32,143,82,0,2461,81,11,0,53,2688
"Census Tract 9400.12, Navajo County, Arizona",4017940012,35319,1,3499,873,26.7,4.01,155,39,0,3392,0,13,0,55,3499
"Census Tract 9400.13, Navajo County, Arizona",4017940013,29167,1,4297,1080,34.2,3.97,285,125,0,4085,16,0,4,67,4297
"Census Tract 9400.14, Navajo County, Arizona",4017940014,20417,1,2789,758,33.7,3.68,61,32,3,2686,0,7,0,61,2789
"Census Tract 9400.15, Navajo County, Arizona",4017940015,20426,1,4300,1184,36,3.63,114,23,0,4152,0,3,24,98,4300
"Census Tract 9401, Navajo County, Arizona",4017940100,29835,1,4755,1213,27.4,3.91,237,287,49,4021,34,0,12,352,4755
"Census Tract 9402, Gila County, Arizona",4007940200,28558,1,2003,475,25,4.22,47,31,5,1926,0,0,0,41,2003
"Census Tract 9402, La Paz County, Arizona",4012940200,44651,1,3048,1080,34.1,2.64,236,1556,29,816,26,14,485,122,3048
"Census Tract 9403, La Paz County, Arizona",4012940300,27855,1,4757,1947,34.8,2.41,219,1641,20,1908,84,18,906,180,4757
"Census Tract 9403.01, Navajo County, Arizona",4017940301,25625,1,4317,982,24.1,4.3,64,78,8,4171,0,0,8,52,4317
"Census Tract 9403.02, Navajo County, Arizona",4017940302,23214,1,3130,712,27.2,4.39,93,58,0,3008,0,0,11,53,3130
"Census Tract 9404, Gila County, Arizona",4007940400,27130,1,5587,1356,27.2,4.11,175,211,54,4757,122,0,0,443,5587
"Census Tract 9404, Mohave County, Arizona",4015940400,41094,1,1096,239,24.8,4.36,35,115,1,953,3,0,2,22,1096
"Census Tract 9405, Graham County, Arizona",4009940500,29853,1,4832,1042,25,4.63,127,50,10,4614,0,0,0,158,4832
"Census Tract 9405.01, Mohave County, Arizona",4015940501,38333,1,2545,1116,51.3,2.28,165,2312,0,161,7,0,17,48,2545
"Census Tract 9406, Pima County, Arizona",4019940600,25850,1,1191,319,33.7,3.46,40,81,4,1078,11,0,17,0,1191
"Census Tract 9407, Maricopa County, Arizona",4013940700,9500,1,99,32,25.9,3.09,0,0,0,78,0,0,0,21,99
"Census Tract 9407, Pima County, Arizona",4019940700,14602,1,1442,393,28.2,3.67,31,22,49,1324,27,0,0,20,1442
"Census Tract 9408, Pima County, Arizona",4019940800,27472,1,4033,1055,27,3.71,137,163,4,3779,29,0,15,43,4033
"Census Tract 9409, Pima County, Arizona",4019940900,31674,1,2029,613,31.3,3.29,75,486,13,1276,7,5,148,94,2029
"Census Tract 9410, Maricopa County, Arizona",4013941000,18304,1,3165,665,22.3,4.72,113,216,18,2365,29,72,20,445,3165
"Census Tract 9410, Pima County, Arizona",4019941000,27031,1,3863,842,22.9,4.55,55,169,10,3367,57,0,101,159,3863
"Census Tract 9411, Maricopa County, Arizona",4013941100,,1,32,4,17.8,8,0,0,0,32,0,0,0,0,32
"Census Tract 9412, Maricopa County, Arizona",4013941200,45167,1,1032,278,26.8,3.71,47,69,28,814,23,0,40,58,1032
"Census Tract 9412, Pinal County, Arizona",4021941200,19075,1,7015,1659,27,4.03,118,387,37,6084,41,0,176,290,7015
"Census Tract 9413, Maricopa County, Arizona",4013941300,30941,1,6132,2159,32.8,2.83,419,1792,16,3877,110,0,58,279,6132
"Census Tract 9413, Pinal County, Arizona",4021941300,31250,1,3449,680,25.8,5.06,51,161,0,3090,110,4,56,28,3449
"Census Tract 9414, Pinal County, Arizona",4021941400,33384,1,8690,2543,33.2,3.4,196,5707,22,2092,80,12,361,416,8690
"Census Tract 9422.01, Coconino County, Arizona",4005942201,37279,1,3913,996,26.8,3.92,115,35,2,3858,0,0,0,18,3913
"Census Tract 9422.02, Coconino County, Arizona",4005942202,28608,1,3813,961,25.3,3.97,103,19,40,3733,0,0,17,4,3813
"Census Tract 9423, Navajo County, Arizona",4017942300,24375,1,2113,618,35.7,3.42,113,48,0,2035,12,0,12,6,2113
"Census Tract 9424, Navajo County, Arizona",4017942400,16004,1,2414,673,32.9,3.59,70,0,8,2180,0,0,0,226,2414
"Census Tract 9425, Navajo County, Arizona",4017942500,24761,1,5127,1329,27.4,3.83,485,344,0,4422,54,186,41,80,5127
"Census Tract 9426, Apache County, Arizona",4001942600,20227,1,1472,346,27.5,4.25,20,0,0,1472,0,0,0,0,1472
"Census Tract 9427, Apache County, Arizona",4001942700,24955,1,4836,1247,36,3.88,196,68,0,4760,5,0,0,3,4836
"Census Tract 9440, Apache County, Arizona",4001944000,36815,1,6134,1433,30.6,4.27,324,309,183,5466,12,13,36,115,6134
"Census Tract 9441, Apache County, Arizona",4001944100,22284,1,5803,1200,23.1,4.61,208,265,25,5311,57,2,17,126,5803
"Census Tract 9442.01, Apache County, Arizona",4001944201,40938,1,4141,1021,20.8,3.98,345,442,20,3405,31,0,0,243,4141
"Census Tract 9442.02, Apache County, Arizona",4001944202,26401,1,3938,971,32.5,4,107,159,9,3738,16,0,16,0,3938
"Census Tract 9443, Apache County, Arizona",4001944300,27207,1,7372,1739,26.4,4.24,313,67,4,7224,5,15,6,51,7372
"Census Tract 9449, Coconino County, Arizona",4005944900,47659,1,5159,1209,29.5,4.25,497,112,0,4884,128,0,14,21,5159
"Census Tract 9449.01, Apache County, Arizona",4001944901,21496,1,3750,899,34.1,4.04,197,154,33,3485,14,5,1,58,3750
"Census Tract 9449.02, Apache County, Arizona",4001944902,21589,1,5463,1335,33,4.07,175,118,30,5251,14,0,4,46,5463
"Census Tract 9450, Coconino County, Arizona",4005945000,25533,1,4356,1177,28.6,3.7,208,99,25,4167,45,0,7,13,4356
"Census Tract 9450.01, Apache County, Arizona",4001945001,36757,1,4814,1252,37.4,3.75,421,182,8,4527,44,0,48,5,4814
"Census Tract 9450.02, Apache County, Arizona",4001945002,22181,1,4334,1031,37.1,4.19,127,89,7,4119,0,0,0,119,4334
"Census Tract 9451, Apache County, Arizona",4001945100,24464,1,2395,547,25.6,4.38,72,152,15,2133,51,0,19,25,2395
"Census Tract 9451, Coconino County, Arizona",4005945100,29000,1,3494,1028,35.9,3.39,118,38,2,3361,5,0,10,78,3494
"Census Tract 9452, Coconino County, Arizona",4005945200,55104,1,4833,1185,26.8,4.08,472,183,0,4594,26,0,11,19,4833
"Census Tract 9501, Mohave County, Arizona",4015950100,35784,1,10925,2320,20.5,4.71,463,10397,0,245,48,0,104,131,10925
"Census Tract 9504.01, Mohave County, Arizona",4015950401,24776,1,2254,970,58.4,2.32,123,2240,0,0,0,0,0,14,2254
"Census Tract 9504.02, Mohave County, Arizona",4015950402,38913,1,3867,1793,59.1,2.16,486,3488,53,113,5,0,10,198,3867
"Census Tract 9505, Mohave County, Arizona",4015950500,22460,1,1116,553,52.5,2.01,97,1000,14,9,42,0,0,51,1116
"Census Tract 9506, Mohave County, Arizona",4015950600,33433,1,8581,3968,56.6,2.16,437,7718,63,129,154,0,18,499,8581
"Census Tract 9507.03, Mohave County, Arizona",4015950703,22447,1,3733,1587,49.4,2.35,177,3494,25,0,14,0,37,163,3733
"Census Tract 9507.04, Mohave County, Arizona",4015950704,37892,1,5451,2284,47.8,2.39,539,5139,0,47,72,0,18,175,5451
"Census Tract 9507.05, Mohave County, Arizona",4015950705,27528,1,3952,1547,45.2,2.55,285,3585,19,17,29,0,39,263,3952
"Census Tract 9507.06, Mohave County, Arizona",4015950706,21250,1,4281,1497,39.6,2.86,88,3792,0,67,0,0,315,107,4281
"Census Tract 9514.01, Mohave County, Arizona",4015951401,44923,1,3855,1889,59,2.04,576,3512,159,44,29,0,7,104,3855
"Census Tract 9514.02, Mohave County, Arizona",4015951402,37602,1,3962,1828,49.7,2.17,424,3583,64,39,69,0,123,84,3962
"Census Tract 9515.01, Mohave County, Arizona",4015951501,36916,1,3628,1784,60.2,2.03,324,3466,80,14,12,0,48,8,3628
"Census Tract 9515.02, Mohave County, Arizona",4015951502,43965,1,5283,2604,62.9,2,714,4870,0,33,10,0,67,303,5283
"Census Tract 9516.01, Mohave County, Arizona",4015951601,36477,1,3024,1156,45.1,2.59,132,2177,31,42,0,0,357,417,3024
"Census Tract 9516.02, Mohave County, Arizona",4015951602,33582,1,4217,1768,50.4,2.39,376,3959,35,0,0,0,106,117,4217
"Census Tract 9517, Mohave County, Arizona",4015951700,27554,1,5482,2081,41.3,2.63,222,5209,13,30,59,0,70,101,5482
"Census Tract 9518, Mohave County, Arizona",4015951800,27510,1,3575,1347,38.1,2.65,161,3009,95,143,45,0,251,32,3575
"Census Tract 9519, Mohave County, Arizona",4015951900,45563,1,4427,1667,44,2.66,606,3705,50,23,275,0,231,143,4427
"Census Tract 9520.01, Mohave County, Arizona",4015952001,64688,1,2064,683,37,3.02,310,1741,119,37,80,0,0,87,2064
"Census Tract 9520.02, Mohave County, Arizona",4015952002,42815,1,6514,2993,55,2.17,830,5950,0,49,94,19,162,240,6514
"Census Tract 9520.03, Mohave County, Arizona",4015952003,41117,1,4607,1887,47.8,2.44,423,4043,0,0,121,45,203,195,4607
"Census Tract 9520.04, Mohave County, Arizona",4015952004,33783,1,3562,1451,50,2.45,266,3202,30,19,94,0,186,31,3562
"Census Tract 9524, Mohave County, Arizona",4015952400,28277,1,2699,1275,59.4,2.12,249,2162,0,31,17,0,465,24,2699
"Census Tract 9525, Mohave County, Arizona",4015952500,43965,1,4900,2236,60.4,2.18,438,4680,28,0,98,0,0,94,4900
"Census Tract 9526, Mohave County, Arizona",4015952600,44654,1,3329,1353,41.6,2.45,256,3096,0,26,0,6,129,72,3329
"Census Tract 9527, Mohave County, Arizona",4015952700,38102,1,4815,2014,45.7,2.39,284,4364,22,17,0,0,390,22,4815
"Census Tract 9528, Mohave County, Arizona",4015952800,47381,1,6134,2759,57.2,2.22,883,5537,71,0,228,0,87,211,6134
"Census Tract 9529, Mohave County, Arizona",4015952900,35344,1,4817,2047,47.9,2.35,535,4412,81,119,22,0,52,131,4817
"Census Tract 9530, Mohave County, Arizona",4015953000,41199,1,5837,2298,42.4,2.53,432,5666,0,0,0,0,146,25,5837
"Census Tract 9531, Mohave County, Arizona",4015953100,32564,1,3059,1487,52.3,2.06,407,2917,53,17,16,0,33,23,3059
"Census Tract 9532, Mohave County, Arizona",4015953200,44267,1,2391,1141,58.9,2.07,515,2369,0,0,0,0,6,16,2391
"Census Tract 9533, Mohave County, Arizona",4015953300,44375,1,6373,2701,57,2.35,735,6051,109,11,12,0,107,83,6373
"Census Tract 9534.01, Mohave County, Arizona",4015953401,43550,1,5359,2336,52.3,2.26,989,5015,10,34,0,50,110,140,5359
"Census Tract 9534.02, Mohave County, Arizona",4015953402,47234,1,6150,2405,47,2.53,334,5531,6,8,327,0,167,111,6150
"Census Tract 9536.01, Mohave County, Arizona",4015953601,51188,1,9273,3260,38.5,2.84,799,8215,0,46,21,204,101,686,9273
"Census Tract 9536.02, Mohave County, Arizona",4015953602,24345,1,2970,952,39.1,2.28,274,2738,19,30,6,15,70,92,2970
"Census Tract 9538, Mohave County, Arizona",4015953800,39500,1,6052,2280,40.5,2.54,423,5393,18,186,32,0,60,363,6052
"Census Tract 9539, Mohave County, Arizona",4015953900,45417,1,6406,2691,42.9,2.37,1018,5740,116,0,193,0,67,290,6406
"Census Tract 9548, Mohave County, Arizona",4015954800,37755,1,10832,2523,43.3,2.23,614,7683,769,503,85,2,1190,600,10832
"Census Tract 9549, Mohave County, Arizona",4015954900,39312,1,3920,1704,52.5,2.29,453,3562,40,70,46,0,39,163,3920
"Census Tract 9550, Mohave County, Arizona",4015955000,38506,1,5165,2055,47.7,2.51,294,3999,0,520,0,0,223,423,5165
"Census Tract 9601, Greenlee County, Arizona",4011960100,44828,1,2844,1184,35.2,2.34,200,2359,79,149,0,0,196,61,2844
"Census Tract 9601, Navajo County, Arizona",4017960100,41750,1,1825,626,32.3,2.9,205,977,0,503,58,0,144,143,1825
"Census Tract 9602, Greenlee County, Arizona",4011960200,65417,1,3182,1158,28.3,2.75,277,2732,46,73,21,0,218,92,3182
"Census Tract 9602, Navajo County, Arizona",4017960200,40260,1,3776,1245,34.7,2.69,337,2567,79,633,0,0,372,125,3776
"Census Tract 9603, Greenlee County, Arizona",4011960300,33065,1,2774,1104,39.9,2.51,179,2499,0,50,0,0,140,85,2774
"Census Tract 9604, Navajo County, Arizona",4017960400,43750,1,3644,1248,35.9,2.92,242,2203,86,967,0,30,243,115,3644
"Census Tract 9605, Navajo County, Arizona",4017960500,38750,1,4247,879,30.9,3.01,198,1942,178,918,17,0,962,230,4247
"Census Tract 9606, Navajo County, Arizona",4017960600,38657,1,4507,1453,29.8,3.01,451,2004,54,1722,12,15,504,196,4507
"Census Tract 9611, Graham County, Arizona",4009961100,46346,1,4315,1446,31.5,2.98,580,3922,9,9,14,0,201,160,4315
"Census Tract 9612.01, Graham County, Arizona",4009961201,40809,1,3285,934,21.2,3.2,370,2856,129,101,35,0,114,50,3285
"Census Tract 9612.02, Graham County, Arizona",4009961202,54704,1,3507,1372,39.8,2.54,557,3142,19,1,0,38,261,46,3507
"Census Tract 9613, Graham County, Arizona",4009961300,37462,1,3526,1300,38,2.62,299,3098,47,19,17,0,297,48,3526
"Census Tract 9613, Navajo County, Arizona",4017961300,42037,1,3269,1278,40.2,2.55,457,2923,31,0,6,0,78,231,3269
"Census Tract 9614, Graham County, Arizona",4009961400,51269,1,5097,1798,31.2,2.78,423,4442,28,43,70,3,271,240,5097
"Census Tract 9615, Graham County, Arizona",4009961500,51582,1,4533,1450,33.5,3.1,212,4224,9,39,5,0,198,58,4533
"Census Tract 9616, Graham County, Arizona",4009961600,52750,1,2694,343,37.7,2.61,199,1974,275,183,36,8,182,36,2694
"Census Tract 9617, Graham County, Arizona",4009961700,47973,1,5522,1290,34.6,2.79,291,4728,272,200,9,9,252,52,5522
"Census Tract 9617, Navajo County, Arizona",4017961700,39840,1,6335,2548,48.5,2.45,740,5964,35,225,60,0,37,14,6335
"Census Tract 9625, Navajo County, Arizona",4017962500,64032,1,3516,1255,48.5,2.8,770,3179,2,10,106,0,219,0,3516
"Census Tract 9633, Navajo County, Arizona",4017963300,53602,1,4560,1354,30.1,3.35,426,4478,0,6,19,0,57,0,4560
"Census Tract 9634, Navajo County, Arizona",4017963400,46691,1,3482,1337,52.4,2.59,526,3314,26,38,0,0,0,104,3482
"Census Tract 9637, Navajo County, Arizona",4017963700,55000,1,1365,532,46.6,2.57,194,1332,0,0,10,0,23,0,1365
"Census Tract 9638, Navajo County, Arizona",4017963800,56442,1,4161,1421,37.9,2.93,601,3683,32,84,36,0,140,186,4161
"Census Tract 9642.01, Navajo County, Arizona",4017964201,24041,1,1976,667,43.8,2.96,226,1447,0,475,0,0,0,54,1976
"Census Tract 9642.02, Navajo County, Arizona",4017964202,30496,1,1980,565,26.7,3.5,62,1618,0,127,0,0,235,0,1980
"Census Tract 9648, Navajo County, Arizona",4017964800,45833,1,4494,1878,51.7,2.39,671,4273,0,113,31,0,35,42,4494
"Census Tract 9649, Navajo County, Arizona",4017964900,60427,1,2564,1168,55.1,2.19,834,2375,0,80,0,0,0,109,2564
"Census Tract 9652, Navajo County, Arizona",4017965200,40718,1,4243,1585,38.5,2.67,392,3842,2,188,0,0,25,186,4243
"Census Tract 9653, Navajo County, Arizona",4017965300,33510,1,4035,1629,46.2,2.48,401,3619,8,181,13,0,40,174,4035
"Census Tract 9660, Santa Cruz County, Arizona",4023966000,49167,1,3015,1440,57.5,2.08,1073,2818,0,9,15,0,130,43,3015
"Census Tract 9661.01, Santa Cruz County, Arizona",4023966101,41818,1,2742,1314,56.8,2.09,855,2132,0,23,20,17,475,75,2742
"Census Tract 9661.03, Santa Cruz County, Arizona",4023966103,23241,1,1156,372,38.6,3.1,72,796,23,0,0,0,337,0,1156
"Census Tract 9661.04, Santa Cruz County, Arizona",4023966104,52847,1,10012,3085,32.7,3.24,1337,7211,97,15,152,0,2255,282,10012
"Census Tract 9661.05, Santa Cruz County, Arizona",4023966105,48214,1,9482,2806,32.4,3.38,1249,7397,57,15,99,0,1765,149,9482
"Census Tract 9662, Santa Cruz County, Arizona",4023966200,36484,1,4727,1535,31,3.08,730,3332,0,0,115,0,1265,15,4727
"Census Tract 9663.01, Santa Cruz County, Arizona",4023966301,34835,1,4357,1244,32.4,3.5,362,3316,0,0,0,0,1041,0,4357
"Census Tract 9663.02, Santa Cruz County, Arizona",4023966302,18125,1,3760,1059,33.8,3.36,187,2717,9,14,6,0,1014,0,3760
"Census Tract 9664.01, Santa Cruz County, Arizona",4023966401,28867,1,3306,1034,33.2,3.15,219,2563,13,6,0,0,668,56,3306
"Census Tract 9664.02, Santa Cruz County, Arizona",4023966402,20951,1,4693,1625,34.3,2.87,303,3497,17,26,9,10,1074,60,4693
"Census Tract 9702, Apache County, Arizona",4001970200,40336,1,4923,1830,50.6,2.68,451,4403,13,177,13,20,57,240,4923
